# Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 18323 types
#
--siJUzaRTGX0W0PqH06lw | R8sg6ZiCdJPHi2EUyh7BiZf | object | 0 | This industry group comprises establishments primarily engaged in one of the following: (1) collecting, preparing, and d | 
-1J12mefTK-mm-m8-Klmow | XXHX_FpRRw2wjNxpHCYi3A | object | 0 | This industry comprises establishments primarily engaged in providing short-term lodging in hotel facilities with a casi | 
-2Lhd7qESeGn8ri84qBhBA | Ebi1FLjOSRqXDvrM65TO6A | object | 0 |  | 
-2gRm-5aTO2n7z3Buw_MRA | R6BuVjQc5Xltba4bK4jk3h | object | 0 |  | 
-37inK4ESva_AnpLBUMm2A | vC_ktnWvR4ST75CIMUAoEA | object | 0 | This U.S. industry comprises establishments generally known as warehouse clubs, superstores, or supercenters, primarily  | 
-4wB9ZyCQUKEkK823tvfqg | uvuQmp65S4a_MkaUra8xhQ | object | 0 | See industry description for 112120. | 
-6FDm3tWRequJ90cvT0ySQ | SMxNxWmNRdaY3reO9Yl_2A | object | 0 | This U.S. industry comprises establishments primarily engaged in growing a combination of fruit(s) and tree nut(s) with  | 
-7Pf8WICQOGniC9cMZ_Cvg | ohVoZyP5T5evUBYNm7bTfQ | object | 0 | This industry comprises establishments primarily engaged in collecting payments for claims and remitting payments collec | 
-AKi-qdIQB6zXs-uHPYUZA | FQRPl0mWQw6wcgApCjO-iA | object | 0 | See industry description for 327910. | 
-Cm9mv-7RueAjbhc-pGpkA | RDQhLz0PnZB43VXzrf46Spa | object | 0 | This industry group comprises establishments manufacturing household-type furniture, such as living room, kitchen and be | 
-CxiRQ72RV-ICeqxtmUMnA | CYRHnSWjTcimh_SBt-83tw | object | 0 | See industry description for 484220. | 
-CymbomUSG-tmTQSPlFoQQ | j3ta5B5vTpuHdt4NcS-DmA | object | 0 | See industry description for 423510. | 
-ETiJxzDR46hSADYcR63-g | VO3xEqPPRw6R4VHVWk05zw | object | 0 | This industry comprises establishments primarily engaged in the preservation and exhibition of natural areas or settings | 
-FTbHCG8TDWPplhflj9hfg | R8C21XIcxp9SGBNeg8jgUaU | object | 0 | This industry group comprises establishments primarily engaged in operating golf courses and country clubs; skiing facil | 
-G8iKTkKRpGnSd3iPbnz0g | 6oKLTYAwSYmMHU9oWxLqSA | object | 0 | See industry description for 336110. | 
-GOKvKWcSEShOMp5Y2jhmQ | cNdeVL-5QIqgO_uNW3gEIg | object | 0 | See industry description for 112410. | 
-HM4zEgFTSGy0IZWTbGuPg | NmIMYURUTcetuQgVtrZrwA | object | 0 | This U.S. industry comprises establishments (except offices of CPAs) engaged in the following without also providing acc | 
-NuqdsQvRH2RqZ15UVw9NQ | RncNeMNwQvKMaiI19YLhFk | object | 0 | This industry group comprises establishments primarily engaged in retailing new sporting goods, toys, games, hobby suppl | 
-QaHZ5SVRZGMUtQHQchlQA | WEmfMdZSRJye75jPt8niEQ | object | 0 | See industry description for 212230. | 
-Tf1tMZOQKSMxkfZMkw7ow | 8Qo4_vlCTraQTxZhVQMm8Q | object | 0 | This U.S. industry comprises establishments primarily engaged in miscellaneous manufacturing (except medical equipment a | 
-YMvXxl2S0SCYd_nLyY58Q | -GOKvKWcSEShOMp5Y2jhmQ | object | 0 | This industry comprises establishments primarily engaged in raising sheep and lambs, or feeding lambs for fattening. The | 
-ZPiIAUYS0KY9O3R-aqa_g | UlA02PR-R3man_0KO_n-2w | object | 0 | See industry description for 512120. | 
-Zk9alx9TrS9ND1RpkWMgw | qHYffSF4Ska3pfGxp_qnmA | object | 0 | This industry comprises establishments primarily engaged in providing advertising services (except advertising agency se | 
-dID63v6S8ytPSDaG2xfzw | HNVzadjSQGur0qgpX0Smbw | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing industrial trucks, tractors, trailers, an | 
-f1DC5_1S2GlZjzNstZ7RA | RCJn3atbap7QaYJjysSsJ1P | object | 0 |  | 
-kylzKPOTfKUaxzQcdiOAw | aVATO1h8Q7yGC9sLbSm7jw | object | 0 | This U.S. industry comprises establishments (except travel agencies, tour operators, and convention and visitors bureaus | 
-n1HB-QfSV-Eu80Lh0E1OQ | RDWbjk2yLNHL2dIZvygRD5J | object | 0 |  | 
-rXrBrlqQoe9zPOAXm05-g | NSVpiebJSkGCmi49WrOQrA | object | 0 | This U.S. industry comprises establishments primarily engaged in initially underwriting (e.g., assuming the risk, assign | 
-uics1YTQhK4gZLQRSV2FQ | U1on4bjwSQS1_YYwVBhc0Q | object | 0 | This industry comprises establishments primarily engaged in providing food, shelter, clothing, medical relief, resettlem | 
-vDKmAoBQiyxS37Pou5yOA | 8BwYq-_yQ3mh7EwIjEuPzA | object | 0 | See industry description for 513110. | 
-zcwA2NGRpCxrLvsRzQISg | OL-7f0qtQPKcHs9SKsi1DA | object | 0 | This U.S. industry comprises: (1) establishments primarily engaged in developing the mine site and/or mining or quarryin | 
-zor2cm6TsaWYo2Nntag3w | RDNWWH9RIbJqVpU8sO05GoL | object | 0 | See industry description for 541350. | 
06iHQO2wTVKIE2dHOrNOcQ | zcX2fp2ISZWcyQQcbR_xOg | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing concrete pipe. | 
07E21cF8S0aK3RoTYjm0eQ | HockIuBcSNWSDhSBRAWvcw | object | 0 | This U.S. industry comprises establishments primarily engaged in leasing passenger cars without drivers, generally for l | 
092qXu1-RfGs4yDbsiZDog | ds4QABl_T8WH0M-IWyz-ew | object | 0 | This industry comprises establishments primarily engaged in retailing new and/or used recreational vehicles commonly ref | 
09V8Rg80T92vB-XCcGuCqQ | NpEUCC4SROeb26W69KSsEA | object | 0 | This industry comprises establishments primarily engaged in providing residential care and treatment for patients with m | 
09q_kVr1TZCaYKhWNE13SA | 5_bs3MXKTrCIt5UR6Gy_VA | object | 0 | This U.S. industry comprises establishments primarily engaged in pouring molten pig iron or iron alloys into molds to ma | 
0BVYczFOT-KvS9TMwDMefQ | qf3aLRCaRsKFAA_IZ6aO_A | object | 0 | This U.S. industry comprises establishments generally known as publishers (except newspaper, magazine, book, directory,  | 
0CoEowfXRtO3Turx_iCsqA | k2PELw1fQ1Skibbx-oujJg | object | 0 | See industry description for 111160. | 
0EDf6KE8RZytGU0z8uCDrQ | Fr7Djl5US9i-GPKMBW4K7g | object | 0 | This industry comprises establishments primarily engaged in assuming all or part of the risk associated with existing in | 
0EFXs9IOSrqpfv2AltDcjA | hs26gUWmSpan-dGyuzrHag | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing sheet metal work (except stampings). | 
0J-LIWv8QqS8ClPgXXieaA | LliiAgvaQR-NH-Ck5KQXQA | object | 0 | See industry description for 621910. | 
0JTGodjHQ5WWOcSuPyuSRw | DuCvUdjyTU69OwoJbpNO1A | object | 0 | See industry description for 924110. | 
0K_BMejJS72mVDXFcz_QSw | IKhloeFRQCmV-NtdilGd0w | object | 0 | See industry description for 531390. | 
0M2JB_nGQgeJCCCXdMJgzQ | J5TrhNp2TP-pHSl3EP7OwA | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing fluid power valves and hose fittings. | 
0NfzPKamRQaQXoR447jVgQ | R8q7pmb15BQ563KmqZxMC3W | object | 0 | This industry group comprises establishments primarily engaged in manufacturing motor vehicle gasoline engines and engin | 
0ObzcrKxQfShmkYBi7WRIQ | PV3ZR2NvSIOv8lsU_cl7uQ | object | 0 | This U.S. industry comprises establishments primarily engaged in repairing and servicing household appliances without re | 
0VzcYLtjSMWuFGIiBIVy-A | LypouC8mRXy5SKOHrPqtNg | object | 0 | See industry description for 814110. | 
0_XaS5vQTbmSeBs5-zrJ-Q | R86iUPXLpkUxhNOxdQYUaWl | object | 0 | See industry description for 455110. | 
0a5qByVCRzqm9eq9WYlUMA | LIE-Xuv1RBKtNxHkQaamDQ | object | 0 | See industry description for 922150. | 
0bwbqpSMSGGJlyYAfFjSlA | BP33n_U3Qhadujz1PLanBQ | object | 0 | See industry description for 423850. | 
0dB4lp8-SmqZ-TtV9Mms-A | 9JgQwj6GQayMCfO78tmPTw | object | 0 | See industry description for 324110. | 
0lNFblcERdGbvgw9pY1flw | HvcFGxR8TpKi1srXlzR0-A | object | 0 | See industry description for 532420. | 
0o0IYQqjTQOOJIBIRfEhnA | RDQhLz0PnZB43VXzrf46Spa | object | 0 | This industry group comprises establishments manufacturing furniture related products, such as mattresses, blinds, and s | 
0o5hdV03RtKfKqXq0oed6Q | B-J7lSkrQZCQo5uqOadw1Q | object | 0 | See industry description for 711110. | 
0sF26grRQ7-QHjEPJOprIg | eB-pFR30SO212o2qBiBW0g | object | 0 | This industry comprises legal entities (i.e., open-end investment funds) organized to pool assets that consist of securi | 
0uV_p4o1TLmRUJJwidxHCQ | -G8iKTkKRpGnSd3iPbnz0g | object | 0 | This industry comprises establishments primarily engaged in (1) manufacturing complete automobiles and light duty motor  | 
0vVfd7ArQSadF882Nob-Zg | k9qvoAmCS0iTPWRTYZZZMg | object | 0 | See industry description for 811310. | 
0xj2uiwGQX-gv3RNXBeIJg | tEn-M7tEQwSDoAaEWhntrQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing accessories and attachments for metal cut | 
0xsU9gpYRkabv5pLh6GvGQ | 2UU3O83LQWOr41rYmPHrdg | object | 0 | This industry comprises legal entities (i.e., funds, plans, and/or programs) organized to provide retirement income bene | 
12TJvkbLSKWCwy9mcO9qJw | HgAZk4vaQ6KD4mBuDva3RA | object | 0 | See industry description for 485310. | 
12hbihA0Spili44-dI_1_Q | bsZKqgnrSEChswxz8e6_-g | object | 0 | This industry comprises establishments primarily engaged in retailing pets, pet foods, and pet supplies. | 
14w2pAy-QWyJFZQKQ4bXxA | 0JTGodjHQ5WWOcSuPyuSRw | object | 0 | This industry comprises government establishments primarily engaged in one or more of the following: (1) the administrat | 
16SG-uYqRxia3OkgDaXBRA | 1fwWe7gBQpieS5cknXqvIg | object | 0 | This industry group comprises establishments primarily engaged in (1) manufacturing lime from calcitic limestone, dolomi | 
1ARrcFziSA2I61gQlRXSPA | Ebi1FLjOSRqXDvrM65TO6A | object | 0 | This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing power boilers  | 
1GNpG5iBR2-T_cm6IHtTXw | Yz4kpOqlRVKhZEaDlcjMvg | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing fixed or portable residential electric li | 
1KEKcGUTSBqqfocQ_BsxwQ | zZrNgdPqRCyQxuIj0b5U6g | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing insulated wire and cable of nonferrous me | 
1NW7o0UeQ-Ke89qCJPuFoA | D4AoLnSSTVqX1Cj--YM_3A | object | 0 | This U.S. industry comprises professional or semiprofessional sports teams or clubs primarily engaged in participating i | 
1b1KZdAgRbWxsNMPwu4yyQ | D0mnTJCRQ0iGNX03-SnqlQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing in-vivo diagnostic substances and pharmac | 
1bHR9XekTZ-CNJMd4qBAbA | xaeK0Z3TSbKSBwNNkf8FqQ | object | 0 | This U.S. industry comprises establishments primarily engaged in providing air transportation of passengers or passenger | 
1bWiwlmiRSiy3DvLT8hWpQ | M45z8e4GSwiLOFETqD491g | object | 0 | See industry description for 339920. | 
1cGYANb2RHiE9VMhPe9BKQ | 88dAy02kTpSG_hNiqeRfhw | object | 0 | This industry comprises establishments primarily engaged in operating bulk farm product warehousing and storage faciliti | 
1feM-E1zT1OIilij9nBtww | oSmDmJrQR8i-AuHApZq3pQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing snack foods (except roasted nuts and pean | 
1fwWe7gBQpieS5cknXqvIg | RBOjgvcq6Z33XxMhTxWiiDS | object | 0 | The Nonmetallic Mineral Product Manufacturing subsector is based on the transformation of mined or quarried nonmetallic  | 
1hRbYyZ3SUikDxHtmOxjbw | K5US-YUOQA-m1BbwsoarAQ | object | 0 | This U.S. industry comprises establishments primarily engaged in (1) flat rolling or continuous casting sheet, plate, fo | 
1jy5RwaXSfe9jDlaUVpJhg | 2ZkwjIZSR6KbxoNWr3a38w | object | 0 | This U.S. industry comprises establishments primarily engaged in picking up and delivering money, receipts, or other val | 
1n8WzhIBRJuB796TVihXfg | RDqvWcvBcUV4cKSUqlFKc4k | object | 0 | This industry group comprises establishments primarily engaged in renting personal and household-type goods. Establishme | 
1nTp5ZD1QmOCuwTxpnbFDQ | 3HY7M-8oRfyv_SNQR5O_SA | object | 0 | This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics pipes and pipe | 
1pa4CthZR2m6-J2cT2_zKQ | KzS7XOscRhW8YxrQ-Ou0IQ | object | 0 | See industry description for 327390. | 
1pmSUI3pSqONDRIfnummbw | -FTbHCG8TDWPplhflj9hfg | object | 0 | See industry description for 713930. | 
1s01X9pWR7iFVnTdj0xxkg | WE8R2zm6TZ6Et7qfPN-BvQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing reconstituted wood sheets and boards. | 
1tmAKTvUSTmbb1RU_rd4WQ | pghJQ5LtTs2mdrNX0Qlf2Q | object | 0 | This industry group comprises establishments primarily engaged in site preparation activities and in specialized trades  | 
1ugoG6M5TBKiLO9t3X9XVA | w4DOnajkSfC-XzLtKxtfQg | object | 0 | This U.S. industry comprises establishments primarily engaged in operating and maintaining switching and transmission fa | 
1vi1NWSDSMKp4xURTipE7g | uWOA_M6CQQaGGo4Y88CnuA | object | 0 | This U.S. industry comprises establishments primarily engaged in renting consumer goods and products (except consumer el | 
